Collections Similarity Summary (Weighted by Average Confidence)
======================================================================================================================================================
Total Collections Summarized: 1105

Collection Name                Avg Similarity       Total Confidence   High (>=0.90) Weight (%)       Medium (0.70-0.89) Weight (%)  Low (0.50-0.69) Weight (%)     Very Low (<0.50) Weight (%)   
echopilot-2023                 0.8498               406.8218           43.84                          48.62                          4.95                           2.59                          
tucsonsentinel-2023            0.8497               553.9114           78.38                          1.86                           0.00                           19.76                         
sternde-2023                   0.8497               2331.0188          70.31                          13.08                          1.27                           15.35                         
franceinfo-2023                0.8497               1700.5357          60.88                          24.88                          7.32                           6.92                          
hitribuneherald-2023           0.8493               688.1854           64.62                          11.89                          14.57                          8.93                          
mdjonline-2023                 0.8490               1011.5909          65.51                          9.25                           13.93                          11.32                         
nhregister-2023                0.8489               1580.4100          49.71                          35.82                          5.02                           9.45                          
hotairblog-2023                0.8488               93.6708            71.41                          9.24                           3.64                           15.70                         
connpost-2023                  0.8483               1650.5860          50.84                          34.78                          3.81                           10.58                         
bakersfieldcali-2023           0.8483               688.3220           28.98                          65.49                          3.66                           1.87                          
juneauempire-2023              0.8482               814.0966           53.64                          26.69                          11.65                          8.02                          
aftenposten-2023               0.8478               854.7614           60.62                          21.24                          11.74                          6.41                          
variety-2023                   0.8477               1536.0698          66.28                          14.94                          3.49                           15.29                         
therecordherald-2023           0.8477               373.9966           39.29                          54.78                          2.98                           2.95                          
voicesofbay-2023               0.8475               311.3485           11.78                          81.20                          5.36                           1.67                          
stargazette-2023               0.8471               327.8364           40.74                          54.63                          0.15                           4.47                          
nybooks-2023                   0.8470               692.0260           75.53                          7.97                           5.47                           11.03                         
milforddaily-2023              0.8470               371.4201           34.24                          61.35                          1.15                           3.26                          
adnkronos-2023                 0.8468               2476.2331          67.71                          13.06                          7.99                           11.25                         
le_parisien-2023               0.8467               1838.5068          57.79                          28.57                          4.69                           8.95                          
starnewsonline-2023            0.8462               402.2814           30.65                          65.87                          0.97                           2.51                          
rgvfox-2023                    0.8461               220.1468           54.51                          25.40                          15.15                          4.94                          
thegleanernews-2023            0.8457               324.3783           45.29                          48.53                          1.93                           4.25                          
kinstonfp-2023                 0.8456               316.8263           33.27                          61.54                          1.30                           3.89                          
bctimes-2023                   0.8453               351.7119           31.53                          63.27                          2.43                           2.76                          
aug_chronicle-2023             0.8451               404.4006           37.46                          52.94                          5.91                           3.68                          
excelsior-2023                 0.8450               943.7101           65.91                          17.77                          6.00                           10.32                         
nbcdfw-2023                    0.8449               929.8430           29.64                          65.17                          3.19                           2.00                          
bcenquirer-2023                0.8448               293.0371           37.65                          57.54                          1.24                           3.58                          
journalstarnews-2023           0.8448               589.1000           59.22                          22.87                          5.62                           12.29                         
townhallcom-2023               0.8446               1075.7901          34.07                          58.51                          5.21                           2.21                          
columbiatribune-2023           0.8444               318.0027           38.10                          56.56                          1.33                           4.01                          
discovermag-2023               0.8444               530.8859           39.66                          51.29                          0.00                           9.06                          
telegramdotcom-2023            0.8444               383.0114           28.94                          63.72                          7.34                           0.00                          
mwtnews-2023                   0.8441               1088.8451          57.29                          25.74                          7.58                           9.39                          
couriertimes-2023              0.8441               395.3529           35.33                          56.65                          4.75                           3.26                          
qctimes-2023                   0.8439               623.6658           64.48                          15.99                          5.66                           13.87                         
theintellnews-2023             0.8439               395.7691           34.99                          57.24                          4.51                           3.26                          
dnj_com-2023                   0.8437               294.2628           34.18                          58.52                          3.33                           3.97                          
cnbc-2023                      0.8437               1059.5453          34.81                          54.78                          4.35                           6.06                          
ledevoir-2023                  0.8437               1372.6442          63.80                          18.39                          5.38                           12.44                         
thedailytimes-2023             0.8436               423.0353           38.85                          53.20                          2.18                           5.77                          
mashable-2023                  0.8434               530.3562           65.30                          9.80                           15.64                          9.26                          
nbcconnecticut-2023            0.8428               875.3413           31.17                          60.82                          5.65                           2.36                          
houmatoday-2023                0.8428               411.2971           36.36                          55.85                          2.41                           5.38                          
callerdotcom-2023              0.8428               331.8349           37.33                          56.78                          2.52                           3.37                          
knoxnews-2023                  0.8427               346.1180           24.05                          73.20                          2.54                           0.20                          
guardian-2023                  0.8426               2093.3980          67.80                          11.65                          9.15                           11.40                         
onlineathens-2023              0.8422               412.7222           44.15                          48.80                          3.31                           3.74                          
savannahnow-2023               0.8417               405.8282           29.93                          64.95                          0.54                           4.57                          
ydrcom-2023                    0.8417               386.6601           38.91                          54.73                          0.47                           5.89                          
themarionstar-2023             0.8417               243.1718           39.81                          53.51                          2.72                           3.96                          
jsunnews-2023                  0.8415               285.0220           37.98                          56.24                          1.31                           4.47                          
eaglegazette-2023              0.8413               250.8808           36.78                          55.40                          3.52                           4.29                          
wjbf-2023                      0.8412               1133.8028          44.87                          41.20                          8.25                           5.68                          
independentmail-2023           0.8410               240.9154           34.14                          60.70                          0.19                           4.96                          
azds-2023                      0.8409               638.6275           61.40                          19.03                          4.88                           14.68                         
elfinanciero_mx-2023           0.8409               1226.6741          59.06                          14.61                          22.12                          4.21                          
tuscaloosanews-2023            0.8405               390.9385           26.25                          68.71                          2.42                           2.62                          
gastongazette-2023             0.8400               366.5963           39.69                          51.86                          5.93                           2.53                          
democracynow-2023              0.8398               461.8638           57.04                          25.11                          4.33                           13.52                         
leafchronicle-2023             0.8397               286.1090           30.81                          64.72                          0.73                           3.74                          
jerusalem_post-2023            0.8392               1325.7609          30.65                          60.56                          5.23                           3.55                          
ldnews-2023                    0.8392               381.2311           43.82                          48.90                          1.09                           6.18                          
shreveporttimes-2023           0.8388               291.7293           39.16                          52.95                          2.82                           5.07                          
stltoday-2023                  0.8384               842.9808           59.64                          23.00                          2.42                           14.94                         
pagina12-2023                  0.8383               1941.7593          34.50                          55.82                          5.34                           4.34                          
sowetanlive-2023               0.8383               766.2954           48.60                          33.40                          10.14                          7.86                          
dailyamerican-2023             0.8381               417.7939           31.80                          62.00                          1.04                           5.16                          
arkbusiness-2023               0.8381               634.4548           52.94                          32.20                          5.50                           9.37                          
startribune-2023               0.8375               1282.6068          62.55                          17.64                          4.62                           15.18                         
standardex-2023                0.8371               414.4873           64.16                          12.73                          7.96                           15.15                         
thetimesnews-2023              0.8371               371.8058           32.77                          59.28                          1.69                           6.25                          
ocalastarbanner-2023           0.8368               362.6136           28.47                          65.66                          2.97                           2.90                          
pi_news-2023                   0.8366               296.1049           39.16                          54.28                          1.64                           4.91                          
drudge-2023                    0.8366               456.0020           16.06                          78.04                          3.26                           2.64                          
gardner_news-2023              0.8365               294.7377           29.26                          63.02                          3.19                           4.53                          
ponews-2023                    0.8363               378.8587           39.13                          51.62                          6.20                           3.05                          
dailycommercial-2023           0.8362               286.7758           33.95                          58.28                          3.50                           4.26                          
ewnreporter-2023               0.8359               777.2718           22.99                          66.58                          2.57                           7.86                          
seacoastonline-2023            0.8358               402.0763           30.19                          65.01                          2.16                           2.64                          
theledger-2023                 0.8358               404.5199           35.03                          57.94                          1.23                           5.80                          
epochtimes-2023                0.8354               3296.9978          29.07                          61.52                          7.62                           1.78                          
newspressnow-2023              0.8353               608.8355           59.24                          22.24                          2.83                           15.70                         
shelbystar-2023                0.8350               364.4173           29.99                          63.90                          2.89                           3.22                          
gainesvillesun-2023            0.8350               402.6780           37.06                          54.33                          3.60                           5.00                          
sputnikint-2023                0.8349               658.8642           41.93                          43.42                          9.09                           5.56                          
brecktexan-2023                0.8348               889.4751           69.93                          3.06                           6.15                           20.86                         
registerguard-2023             0.8348               404.2477           39.51                          50.75                          5.98                           3.75                          
atarde-2023                    0.8348               1022.2058          69.83                          8.14                           5.32                           16.71                         
bangordailynews-2023           0.8347               1350.4673          36.02                          52.17                          2.35                           9.45                          
norwichbulletin-2023           0.8346               396.0276           35.31                          58.79                          0.00                           5.90                          
lemonde_en-2023                0.8346               1692.0477          46.05                          37.11                          7.33                           9.51                          
amazoniaagencia-2023           0.8345               639.3112           49.18                          38.91                          2.56                           9.35                          
fostersdailydem-2023           0.8343               383.3986           28.37                          66.80                          2.20                           2.63                          
fdrlst-2023                    0.8336               907.5101           22.18                          72.41                          2.61                           2.80                          
nbsunjournal-2023              0.8336               308.0452           29.53                          65.34                          1.28                           3.85                          
vgnett-2023                    0.8334               1109.2601          60.94                          19.61                          5.92                           13.54                         
bmtenterprise-2023             0.8334               913.3820           48.83                          29.93                          11.19                          10.04                         
abc7-2023                      0.8333               663.3070           55.76                          20.87                          9.95                           13.43                         
slate-2023                     0.8332               906.5269           35.83                          51.61                          7.71                           4.86                          
jaxdotcom-2023                 0.8328               419.7232           27.64                          67.54                          2.48                           2.34                          
poconorecord-2023              0.8324               388.5271           42.69                          46.94                          2.27                           8.10                          
jdnews-2023                    0.8324               305.2445           25.63                          69.00                          1.91                           3.46                          
lohud-2023                     0.8322               354.5736           36.74                          56.18                          2.76                           4.32                          
metrowestdaily-2023            0.8322               423.3146           40.48                          52.31                          1.30                           5.92                          
ecledger-2023                  0.8321               359.9465           34.55                          52.03                          10.33                          3.09                          
theheraldtimes-2023            0.8311               392.4039           29.33                          63.42                          4.29                           2.96                          
njherald-2023                  0.8310               406.2866           37.93                          54.02                          2.39                           5.66                          
sfchronicle-2023               0.8308               2012.8554          47.39                          36.46                          5.11                           11.05                         
omelete-2023                   0.8305               462.6530           62.99                          17.47                          9.89                           9.65                          
cantonledger-2023              0.8303               323.8358           39.37                          52.48                          4.08                           4.07                          
goerie-2023                    0.8300               388.8054           23.08                          70.23                          3.25                           3.43                          
sturgisnewsroom-2023           0.8299               398.6375           31.91                          57.53                          7.46                           3.10                          
memphisnews-2023               0.8299               395.3288           24.19                          70.56                          2.72                           2.53                          
jewishcurrents-2023            0.8294               295.5130           62.50                          16.45                          11.66                          9.40                          
populardiario-2023             0.8294               1024.8399          16.00                          78.95                          4.93                           0.12                          
hutchnews-2023                 0.8292               330.2308           47.02                          42.90                          3.21                           6.87                          
pbpost-2023                    0.8288               388.7391           26.38                          68.78                          1.86                           2.98                          
rgj-2023                       0.8288               326.6775           25.33                          69.10                          2.28                           3.29                          
leadertelegram-2023            0.8280               1119.9930          60.38                          13.14                          9.18                           17.29                         
miamiherald-2023               0.8280               1085.7649          28.31                          63.19                          5.31                           3.18                          
irishtimes-2023                0.8279               1656.0789          35.60                          48.35                          12.25                          3.79                          
thr-2023                       0.8277               954.2118           30.55                          55.70                          6.79                           6.96                          
heraldmailnews-2023            0.8277               371.2603           30.51                          61.83                          4.61                           3.05                          
vcstar-2023                    0.8277               403.4808           37.50                          53.74                          5.46                           3.31                          
lexdispatch-2023               0.8276               362.2387           30.80                          60.48                          2.62                           6.11                          
frednewspost-2023              0.8275               1248.4339          71.43                          3.40                           4.60                           20.56                         
newarkadvocate-2023            0.8272               289.3642           31.25                          61.13                          3.42                           4.19                          
shinysheet-2023                0.8268               317.2410           32.75                          58.97                          4.97                           3.31                          
dailysunsa-2023                0.8266               897.7624           41.60                          44.30                          7.72                           6.38                          
openvallejo-2023               0.8262               543.5212           47.73                          37.68                          5.35                           9.24                          
postcrescent-2023              0.8261               408.5952           27.73                          63.22                          3.44                           5.61                          
publicopinionsd-2023           0.8260               301.6144           35.13                          50.91                          6.63                           7.33                          
time-2023                      0.8255               747.8128           49.16                          33.16                          4.44                           13.24                         
fortunemagazine-2023           0.8254               1392.4112          32.34                          57.74                          5.66                           4.26                          
theipaper-2023                 0.8253               1839.0172          49.13                          32.83                          7.67                           10.38                         
gosanangelo-2023               0.8252               372.6103           38.68                          52.93                          1.81                           6.58                          
statesman-2023                 0.8251               425.4566           22.48                          71.06                          3.37                           3.09                          
timesrecorder-2023             0.8251               251.2272           39.50                          46.76                          8.69                           5.05                          
injusticewatch-2023            0.8250               322.1164           71.37                          4.13                           4.17                           20.34                         
examinationnews-2023           0.8249               8.2617             19.48                          70.74                          9.77                           0.00                          
lsjnews-2023                   0.8249               310.6028           31.18                          57.66                          7.53                           3.63                          
southcoasttoday-2023           0.8242               345.4420           35.53                          56.62                          0.83                           7.02                          
pressherald-2023               0.8241               1077.9885          47.73                          31.59                          8.36                           12.32                         
bartlesvilleee-2023            0.8240               281.3450           33.08                          55.67                          6.22                           5.04                          
huffpost-2023                  0.8239               853.8248           54.39                          22.31                          8.69                           14.61                         
huffpostcanada-2023            0.8238               855.6210           53.86                          23.27                          8.23                           14.64                         
houstonchron-2023              0.8235               1371.7144          36.23                          49.08                          5.54                           9.15                          
thejaxtrib-2023                0.8231               512.6867           32.88                          62.35                          0.00                           4.77                          
bistrib-2023                   0.8224               651.5675           59.75                          17.91                          6.72                           15.62                         
wabenews-2023                  0.8218               420.1834           34.76                          54.44                          3.15                           7.65                          
6abc-2023                      0.8217               656.3450           58.40                          15.07                          10.91                          15.62                         
flphoenixnews-2023             0.8215               308.3942           9.56                           88.72                          1.38                           0.34                          
capecodtimes-2023              0.8213               413.0195           27.17                          65.09                          2.79                           4.95                          
elpasotimes-2023               0.8211               405.7627           31.43                          59.85                          3.42                           5.29                          
lanuevaespana-2023             0.8210               2000.2253          24.79                          64.86                          5.10                           5.25                          
courierjournal-2023            0.8204               404.5012           25.99                          65.78                          2.93                           5.30                          
indedotcom-2023                0.8201               390.8691           26.55                          63.87                          7.01                           2.57                          
apmreports-2023                0.8199               264.6039           19.74                          72.01                          3.90                           4.36                          
detroitnews-2023               0.8199               535.9594           26.72                          65.29                          2.76                           5.23                          
baltimorebrew-2023             0.8198               511.7414           46.71                          30.92                          11.27                          11.10                         
timesgazette-2023              0.8197               406.8361           26.23                          64.10                          5.59                           4.08                          
ap-2023                        0.8196               1424.2355          60.58                          15.25                          6.48                           17.69                         
cpsj-2023                      0.8193               307.9003           43.55                          45.80                          2.39                           8.26                          
timesrecordnews-2023           0.8192               394.3125           37.49                          47.83                          10.73                          3.95                          
thewrap-2023                   0.8192               628.5756           40.17                          47.27                          6.26                           6.29                          
dispatchalerts-2023            0.8191               386.6463           22.05                          71.75                          2.58                           3.61                          
laopinioncoruna-2023           0.8186               1320.2043          20.34                          69.65                          6.85                           3.16                          
salem_statesman-2023           0.8186               338.5292           37.53                          53.06                          2.45                           6.96                          
mydelmarvanow-2023             0.8184               376.9232           33.11                          52.51                          8.61                           5.78                          
themarkup-2023                 0.8182               104.9153           41.86                          39.10                          5.78                           13.26                         
aldiadallas-2023               0.8182               705.6323           48.14                          24.37                          20.45                          7.03                          
abc7newsbayarea-2023           0.8181               717.3499           55.07                          19.49                          11.87                          13.58                         
thepupnews-2023                0.8179               213.6009           41.43                          43.32                          9.12                           6.12                          
dandc-2023                     0.8176               367.8442           32.11                          58.75                          2.08                           7.06                          
elpaisuy-2023                  0.8176               744.0436           7.52                           87.29                          4.03                           1.16                          
thedailyrecord-2023            0.8170               392.7025           24.14                          65.08                          7.31                           3.47                          
alma_preta-2023                0.8168               161.0475           41.89                          44.83                          3.60                           9.68                          
telemundochi-2023              0.8168               868.4251           19.60                          71.75                          2.13                           6.52                          
mtvnews-2023                   0.8166               129.1508           60.76                          20.45                          0.00                           18.79                         
wickedlocal-2023               0.8165               226.8902           41.43                          43.22                          5.91                           9.44                          
burlcotimes-2023               0.8156               373.4986           29.99                          59.30                          4.48                           6.24                          
scottishsun-2023               0.8151               1492.4409          47.03                          32.29                          11.21                          9.46                          
hnnow-2023                     0.8151               387.9923           32.23                          56.96                          1.81                           9.00                          
pressconnects-2023             0.8150               342.8673           36.85                          52.40                          0.91                           9.83                          
timesofindia-2023              0.8149               5966.6344          45.69                          28.48                          15.90                          9.93                          
abcnews-2023                   0.8141               1650.8064          62.81                          5.88                           12.48                          18.82                         
thenewportdaily-2023           0.8141               379.2766           28.59                          61.36                          4.29                           5.76                          
financialpost-2023             0.8139               459.8703           28.79                          54.47                          9.43                           7.31                          
expressnews-2023               0.8138               1646.3315          34.92                          48.10                          7.43                           9.55                          
thestarpress-2023              0.8137               298.2444           37.81                          50.65                          3.42                           8.12                          
statejournal-2023              0.8137               1338.6540          62.33                          9.02                           9.88                           18.77                         
kystandard-2023                0.8134               758.3243           66.58                          7.04                           1.80                           24.58                         
lancenet-2023                  0.8133               333.2393           27.04                          58.40                          6.84                           7.72                          
vtdigger-2023                  0.8127               1424.7795          55.98                          18.95                          4.82                           20.25                         
livingstondaily-2023           0.8127               304.4519           38.77                          50.43                          2.13                           8.67                          
bfp_news-2023                  0.8125               308.4202           39.44                          49.32                          2.42                           8.83                          
mgmadvertiser-2023             0.8124               306.1752           34.38                          53.70                          3.75                           8.18                          
thepostregister-2023           0.8122               992.5350           60.48                          10.69                          6.49                           22.34                         
beaconjournal-2023             0.8116               398.5516           26.70                          65.25                          2.34                           5.71                          
mnherald-2023                  0.8115               341.4736           22.98                          66.05                          3.73                           7.24                          
el_pais-2023                   0.8112               1689.5433          48.45                          29.37                          7.25                           14.93                         
capitalandmain-2023            0.8112               206.2420           66.88                          9.62                           4.07                           19.43                         
freep-2023                     0.8111               495.7102           20.78                          72.83                          3.64                           2.75                          
elperiodico-2023               0.8111               2605.0399          29.67                          53.58                          9.05                           7.70                          
okayplayer-2023                0.8107               272.2228           18.26                          69.91                          5.37                           6.46                          
alliancereview-2023            0.8103               362.2381           23.46                          63.01                          10.27                          3.26                          
sltrib-2023                    0.8090               536.8767           65.67                          10.89                          1.41                           22.03                         
pnj-2023                       0.8090               304.3637           37.85                          52.02                          2.09                           8.04                          
dailyherald-2023               0.8086               1013.1884          53.92                          20.98                          11.30                          13.80                         
asburyparkpress-2023           0.8086               361.0366           24.35                          65.84                          3.27                           6.54                          
indystar-2023                  0.8081               401.1678           23.43                          67.17                          3.52                           5.88                          
thenewspress-2023              0.8080               401.2917           25.20                          66.03                          2.06                           6.71                          
htrnews-2023                   0.8077               336.5848           23.25                          64.98                          4.13                           7.64                          
wnyc-2023                      0.8076               355.3934           31.49                          53.93                          3.01                           11.57                         
ndn-2023                       0.8071               401.1381           24.30                          66.81                          2.50                           6.39                          
tennessean-2023                0.8065               444.4357           20.99                          67.98                          4.99                           6.04                          
netwerk24-2023                 0.8064               1784.2091          28.71                          54.04                          7.60                           9.64                          
projo-2023                     0.8059               380.2947           26.59                          60.29                          4.19                           8.94                          
cantonrepdotcom-2023           0.8058               394.5799           24.40                          63.24                          8.48                           3.88                          
fdlreporter-2023               0.8053               338.3017           22.74                          65.89                          3.17                           8.20                          
metropoles-2023                0.8047               1644.5333          26.89                          53.80                          12.82                          6.49                          
nbcbayarea-2023                0.8046               953.0104           23.80                          60.57                          8.22                           7.41                          
delawareonline-2023            0.8043               407.2463           37.02                          51.04                          3.28                           8.66                          
sbtnews-2023                   0.8043               304.4902           35.84                          41.04                          13.47                          9.65                          
heraldtribune-2023             0.8041               441.9215           24.09                          67.26                          3.12                           5.53                          
kpr_frankfort-2023             0.8039               97.8367            48.05                          26.91                          14.19                          10.84                         
indiancountry-2023             0.8039               523.8829           51.43                          23.58                          9.12                           15.88                         
crucessunnews-2023             0.8031               406.6611           26.33                          63.42                          4.43                           5.81                          
florida_today-2023             0.8026               300.3435           30.69                          57.44                          2.40                           9.46                          
